,Year_Birth,Education,Marital_Status,income,Kidhome,Teenhome,segment
7,1967,Graduation,Together,44931.0,0,1,0
12,1959,PhD,Widow,67786.0,0,0,0
20,1954,Master,Together,36634.0,0,1,0
28,1956,PhD,Widow,35340.0,1,1,0
45,1961,Graduation,Together,64260.0,0,0,0
57,1975,PhD,Together,61905.0,0,1,0
61,1961,Master,Together,48330.0,0,1,0
83,1970,PhD,Together,77622.0,0,2,0
88,1945,PhD,Together,71604.0,0,0,0
90,1977,Graduation,Together,55375.0,0,1,0
97,1949,Master,Widow,47570.0,1,1,0
99,1956,PhD,Single,54998.0,0,1,0
100,1948,PhD,Single,60200.0,0,1,0
103,1973,PhD,YOLO,48432.0,0,1,0
104,1973,PhD,YOLO,48432.0,0,1,0
107,1965,PhD,Together,65220.0,0,0,0
110,1955,Graduation,Together,53863.0,0,1,0
116,1976,Master,Together,65104.0,0,1,0
117,1976,Master,Together,65104.0,0,1,0
120,1958,Graduation,Together,69096.0,0,1,0
124,1958,Graduation,Together,46610.0,0,0,0
132,1957,Graduation,Together,21994.0,0,1,0
133,1957,Graduation,Together,21994.0,0,1,0
149,1949,Master,Together,49912.0,0,1,0
150,1949,Master,Together,49912.0,0,1,0
163,1947,Graduation,Together,70321.0,0,0,0
169,1961,2n Cycle,Widow,59184.0,0,1,0
187,1956,Master,Together,69245.0,0,1,0
194,1956,Graduation,Together,64090.0,0,1,0
196,1962,PhD,Widow,71670.0,0,0,0
197,1951,PhD,Widow,67680.0,0,1,0
199,1953,PhD,Single,64108.0,0,1,0
200,1951,PhD,Together,69702.0,0,1,0
201,1952,Graduation,Single,47958.0,0,1,0
209,1945,PhD,Single,45576.0,0,0,0
216,1950,Master,Widow,64866.0,0,1,0
217,1975,Master,Together,34176.0,0,1,0
230,1965,Graduation,Together,56046.0,0,0,0
247,1957,Graduation,Together,47320.0,0,1,0
253,1949,Graduation,Together,69372.0,0,0,0
264,1968,Master,Together,43795.0,0,1,0
276,1956,Graduation,Together,46097.0,0,1,0
278,1959,Graduation,Together,44911.0,0,1,0
283,1958,PhD,Together,78952.0,0,1,0
288,1970,PhD,Together,65968.0,0,1,0
292,1972,Graduation,Together,77044.0,0,1,0
298,1976,Graduation,Together,62061.0,0,1,0
302,1971,Master,Together,71499.0,0,1,0
320,1955,Graduation,Single,62535.0,0,1,0
338,1954,Graduation,Together,75315.0,0,1,0
342,1955,2n Cycle,Together,74805.0,0,1,0
343,1961,PhD,Together,66426.0,0,1,0
344,1949,Master,Widow,51529.0,0,1,0
