,Year_Birth,Education,Marital_Status,income,Kidhome,Teenhome,segment
0,1970,Graduation,Divorced,84835.0,0,0,3
1,1961,Graduation,Single,57091.0,0,0,3
5,1958,PhD,Single,71691.0,0,0,3
6,1954,2n Cycle,Married,63564.0,0,0,3
10,1947,2n Cycle,Married,81044.0,0,0,3
29,1975,Graduation,Single,73170.0,0,0,3
31,1986,Graduation,Married,79529.0,0,0,3
35,1987,PhD,Single,95169.0,0,0,3
36,1984,2n Cycle,Married,65370.0,0,0,3
38,1961,PhD,Single,84865.0,0,0,3
42,1983,2n Cycle,Single,81698.0,0,0,3
51,1954,Master,Married,66991.0,0,0,3
53,1956,Graduation,Married,90369.0,0,0,3
58,1962,Graduation,Married,83715.0,0,0,3
67,1960,2n Cycle,Married,82504.0,0,0,3
70,1975,PhD,Married,79174.0,0,0,3
74,1971,Graduation,Married,76445.0,1,0,3
75,1965,Graduation,Together,75276.0,0,0,3
77,1976,PhD,Together,72335.0,0,0,3
78,1964,Master,Married,79143.0,0,0,3
80,1969,Graduation,Together,68695.0,0,0,3
81,1969,Graduation,Together,68695.0,0,0,3
93,1969,PhD,Together,69476.0,0,0,3
101,1982,Graduation,Married,63211.0,0,0,3
108,1990,PhD,Married,74214.0,0,0,3
109,1980,2n Cycle,Married,96547.0,0,0,3
118,1949,Master,Married,81698.0,0,0,3
128,1946,Master,Married,68657.0,0,0,3
135,1972,Graduation,Married,69209.0,0,0,3
137,1987,PhD,Single,74004.0,0,0,3
141,1989,2n Cycle,Married,85710.0,0,0,3
142,1974,Graduation,Divorced,102692.0,0,0,3
152,1954,Graduation,Divorced,85683.0,0,0,3
166,1969,PhD,Married,68462.0,0,0,3
170,1987,Graduation,Together,67430.0,0,0,3
173,1992,Graduation,Single,83528.0,0,0,3
174,1979,Graduation,Together,90300.0,0,0,3
175,1978,Master,Single,68092.0,0,0,3
183,1975,PhD,Married,86836.0,0,0,3
188,1963,PhD,Divorced,72968.0,0,0,3
190,1990,Graduation,Married,73687.0,0,0,3
191,1944,PhD,Single,82716.0,0,0,3
208,1977,Graduation,Married,74985.0,0,0,3
210,1945,PhD,Single,113734.0,0,0,3
219,1948,Graduation,Married,92344.0,0,0,3
222,1982,PhD,Married,84169.0,0,0,3
223,1982,PhD,Married,84169.0,0,0,3
225,1975,PhD,Divorced,74165.0,0,0,3
227,1944,Graduation,Married,65275.0,0,0,3
238,1969,Graduation,Married,73448.0,0,0,3
240,1961,Graduation,Single,86429.0,0,0,3
256,1968,Graduation,Divorced,75693.0,0,0,3
257,1982,Graduation,Married,69109.0,0,0,3
258,1982,Graduation,Married,69109.0,0,0,3
259,1994,Graduation,Together,80134.0,0,0,3
275,1969,Master,Married,70091.0,1,0,3
277,1963,PhD,Divorced,41003.0,0,0,3
289,1956,Master,Single,86424.0,0,0,3
291,1957,Graduation,Single,78499.0,0,0,3
293,1993,Graduation,Single,70515.0,0,0,3
295,1970,PhD,Married,80336.0,0,0,3
300,1982,Master,Single,75777.0,0,0,3
301,1982,Master,Single,75777.0,0,0,3
305,1973,Graduation,Single,83917.0,0,0,3
307,1956,Graduation,Married,79456.0,0,0,3
308,1980,Master,Divorced,78789.0,0,0,3
316,1978,PhD,Married,82170.0,0,0,3
317,1964,PhD,Single,61798.0,0,0,3
319,1988,Master,Married,78285.0,0,0,3
323,1970,Graduation,Married,72940.0,0,0,3
325,1977,Graduation,Together,157146.0,0,0,3
326,1960,Master,Married,81843.0,0,0,3
330,1986,Graduation,Together,78394.0,0,0,3
335,1983,Graduation,Together,78687.0,0,0,3
340,1946,Graduation,Married,78569.0,0,0,3
348,1976,Graduation,Married,74068.0,0,0,3
353,1974,Graduation,Together,83145.0,0,0,3
361,1980,PhD,Single,76412.0,0,0,3
376,1970,Graduation,Single,93790.0,0,0,3
385,1970,Master,Single,75345.0,0,0,3
399,1950,Graduation,Married,80763.0,0,0,3
403,1991,Graduation,Together,89891.0,0,0,3
415,1987,Graduation,Divorced,81361.0,0,0,3
416,1987,Graduation,Divorced,81361.0,0,0,3
419,1972,2n Cycle,Single,65704.0,0,0,3
423,1967,Graduation,Divorced,57136.0,0,0,3
425,1965,Graduation,Together,83003.0,0,0,3
426,1960,Master,Married,89058.0,0,0,3
428,1974,Graduation,Married,72099.0,0,0,3
432,1961,Graduation,Married,79410.0,0,0,3
436,1944,Master,Married,80184.0,0,0,3
437,1967,Graduation,Divorced,76982.0,0,0,3
438,1980,PhD,Single,65295.0,0,0,3
439,1973,Graduation,Together,57100.0,0,0,3
441,1971,PhD,Married,78931.0,0,0,3
444,1990,Graduation,Single,64509.0,0,0,3
452,1960,2n Cycle,Divorced,87305.0,0,0,3
465,1969,Graduation,Married,80952.0,0,0,3
469,1954,Graduation,Married,86718.0,0,0,3
470,1986,Master,Married,80141.0,0,0,3
472,1945,PhD,Married,70356.0,0,0,3
476,1964,Graduation,Single,61839.0,0,0,3
484,1946,Master,Married,66835.0,0,0,3
485,1946,Master,Married,66835.0,0,0,3
487,1971,Graduation,Together,74538.0,0,0,3
491,1971,Graduation,Together,69930.0,0,0,3
497,1982,PhD,Married,160803.0,0,0,3
