,Year_Birth,Education,Marital_Status,income,Kidhome,Teenhome,segment
4,1989,Graduation,Single,21474.0,1,0,2
11,1979,Master,Together,62499.0,1,0,2
13,1981,Graduation,Married,26872.0,0,0,2
22,1979,Master,Married,40662.0,1,0,2
23,1976,PhD,Married,49544.0,1,0,2
34,1990,Graduation,Married,18351.0,0,0,2
40,1972,Graduation,Single,21359.0,1,0,2
43,1986,Graduation,Single,39146.0,1,0,2
46,1973,Graduation,Married,32300.0,1,0,2
50,1984,2n Cycle,Married,14796.0,1,0,2
54,1974,Basic,Married,18393.0,1,0,2
60,1982,Master,Single,6560.0,0,0,2
63,1977,Master,Married,22701.0,1,0,2
65,1986,Graduation,Together,34728.0,1,0,2
73,1970,Graduation,Single,27242.0,1,0,2
85,1980,2n Cycle,Single,31859.0,1,0,2
86,1987,2n Cycle,Single,23830.0,0,0,2
89,1984,Graduation,Married,27255.0,1,0,2
111,1970,Graduation,Married,50447.0,2,0,2
113,1982,Graduation,Together,45203.0,2,0,2
114,1975,Master,Married,37368.0,1,0,2
122,1978,Graduation,Married,33039.0,1,0,2
123,1978,Graduation,Married,33039.0,1,0,2
131,1967,Master,Single,59235.0,1,0,2
136,1989,Graduation,Together,31928.0,1,0,2
138,1987,2n Cycle,Married,30390.0,0,0,2
139,1985,Graduation,Married,21355.0,1,0,2
140,1969,Graduation,Married,26304.0,1,0,2
145,1984,Master,Single,18890.0,0,0,2
146,1986,Basic,Married,20425.0,1,0,2
147,1986,Basic,Married,20425.0,1,0,2
155,1984,PhD,Married,38175.0,1,0,2
158,1976,Master,Together,30560.0,1,0,2
159,1976,Master,Together,30560.0,1,0,2
165,1990,Basic,Married,24279.0,0,0,2
177,1973,Graduation,Married,52845.0,1,0,2
178,1976,Graduation,Married,24027.0,1,0,2
179,1979,2n Cycle,Together,7500.0,1,0,2
182,1973,Basic,Together,9722.0,1,0,2
184,1972,Graduation,Married,30467.0,1,0,2
186,1982,Graduation,Together,19444.0,1,0,2
192,1981,2n Cycle,Married,35523.0,1,0,2
193,1975,PhD,Divorced,60554.0,1,0,2
206,1988,2n Cycle,Married,15716.0,1,0,2
211,1987,Graduation,Single,57100.0,1,0,2
212,1972,Graduation,Married,24434.0,2,0,2
213,1971,PhD,Married,37126.0,1,0,2
215,1977,Graduation,Together,33178.0,1,0,2
218,1968,Master,Single,50014.0,1,0,2
220,1970,Master,Divorced,55282.0,1,0,2
224,1971,Master,Single,39763.0,1,0,2
234,1979,Master,Single,16653.0,1,0,2
237,1973,2n Cycle,Married,43050.0,1,0,2
239,1992,Basic,Married,17256.0,1,0,2
241,1983,PhD,Married,33569.0,1,0,2
242,1980,2n Cycle,Together,25130.0,1,0,2
250,1986,Master,Married,28072.0,1,0,2
254,1971,Master,Married,35178.0,1,0,2
255,1971,Master,Married,35178.0,1,0,2
260,1970,Graduation,Divorced,64713.0,1,0,2
261,1986,Graduation,Divorced,41411.0,0,0,2
265,1970,Graduation,Together,22070.0,1,0,2
270,1972,Master,Married,35641.0,1,0,2
271,1984,2n Cycle,Together,32414.0,0,0,2
273,1980,Graduation,Married,34968.0,1,0,2
279,1975,Graduation,Single,33249.0,1,0,2
280,1975,Graduation,Single,33249.0,1,0,2
286,1988,Graduation,Alone,34176.0,1,0,2
287,1988,Graduation,Single,34176.0,1,0,2
294,1975,Master,Together,17459.0,1,0,2
297,1976,2n Cycle,Together,26326.0,0,0,2
303,1978,PhD,Single,31626.0,1,0,2
304,1992,Master,Together,42670.0,0,0,2
306,1969,Master,Together,41021.0,1,0,2
310,1983,Master,Married,35876.0,0,0,2
312,1967,Master,Single,32557.0,1,0,2
318,1992,Basic,Single,15253.0,1,0,2
321,1973,Basic,Together,27190.0,1,0,2
324,1985,2n Cycle,Married,36145.0,1,0,2
327,1988,Graduation,Together,41883.0,1,0,2
331,1989,Graduation,Single,30279.0,1,0,2
332,1989,Graduation,Single,30279.0,1,0,2
333,1970,Graduation,Widow,31880.0,1,0,2
336,1973,PhD,Married,37401.0,1,0,2
337,1973,PhD,Married,37401.0,1,0,2
347,1977,2n Cycle,Together,20981.0,0,0,2
349,1983,Graduation,Married,36790.0,0,0,2
350,1971,Graduation,Married,18793.0,1,0,2
352,1972,Graduation,Married,30675.0,1,0,2
355,1983,Master,Single,31788.0,1,0,2
362,1990,Graduation,Married,18929.0,0,0,2
363,1990,Graduation,Married,18929.0,0,0,2
364,1990,Graduation,Married,18929.0,0,0,2
365,1986,Master,Single,21888.0,1,0,2
367,1979,PhD,Married,31605.0,1,0,2
368,1974,PhD,Divorced,25509.0,1,0,2
369,1974,PhD,Divorced,25509.0,1,0,2
372,1983,2n Cycle,Married,32146.0,1,0,2
373,1983,Graduation,Single,22148.0,0,0,2
374,1979,Graduation,Married,36781.0,1,0,2
377,1972,Graduation,Single,24762.0,1,0,2
378,1984,Master,Married,30477.0,1,0,2
