,Year_Birth,Education,Marital_Status,income,Kidhome,Teenhome,segment
2,1958,Graduation,Married,67267.0,0,1,1
8,1954,PhD,Married,65324.0,0,1,1
9,1954,PhD,Married,65324.0,0,1,1
14,1969,Graduation,Married,4428.0,0,1,1
17,1958,PhD,Divorced,32173.0,0,1,1
18,1960,2n Cycle,Single,47823.0,0,1,1
21,1966,Master,Single,43456.0,0,1,1
24,1969,Graduation,Single,57731.0,0,1,1
25,1965,Master,Single,33168.0,0,1,1
33,1974,PhD,Married,46374.0,0,1,1
37,1960,Master,Divorced,39228.0,0,0,1
39,1968,Graduation,Married,61314.0,0,1,1
41,1955,PhD,Married,66465.0,0,1,1
47,1965,Master,Married,74806.0,0,1,1
48,1970,Graduation,Divorced,72967.0,0,1,1
49,1960,Graduation,Single,48904.0,0,1,1
56,1973,Master,Married,38576.0,0,1,1
59,1964,Graduation,Married,60597.0,0,1,1
66,1956,Master,Married,63915.0,0,2,1
71,1962,2n Cycle,Divorced,81975.0,0,1,1
72,1977,Master,Married,43263.0,0,1,1
79,1947,Graduation,Married,27469.0,0,0,1
82,1957,Graduation,Single,50388.0,0,1,1
91,1960,PhD,Married,77037.0,0,1,1
94,1979,Graduation,Married,72063.0,0,1,1
95,1962,Master,Married,58646.0,0,1,1
96,1962,Master,Married,58646.0,0,1,1
98,1980,Graduation,Married,80011.0,0,1,1
102,1973,PhD,Single,48432.0,0,1,1
112,1953,Graduation,Married,37716.0,0,1,1
115,1955,Graduation,Married,67225.0,0,1,1
119,1968,Graduation,Single,70566.0,0,1,1
121,1962,Graduation,Married,71434.0,0,1,1
125,1958,Graduation,Single,49967.0,0,1,1
129,1954,Graduation,Divorced,72071.0,0,1,1
130,1954,Graduation,Divorced,72071.0,0,1,1
143,1971,Graduation,Single,58350.0,0,1,1
151,1959,Graduation,Married,79823.0,0,1,1
154,1976,PhD,Married,68397.0,0,1,1
160,1979,Graduation,Single,60152.0,0,1,1
164,1962,Graduation,Married,56181.0,0,1,1
167,1976,PhD,Married,55424.0,0,1,1
168,1973,Graduation,Married,49094.0,0,1,1
171,1960,Master,Married,30522.0,0,1,1
172,1977,2n Cycle,Single,31878.0,0,1,1
185,1952,PhD,Married,54549.0,0,1,1
195,1965,Graduation,Single,61559.0,0,1,1
198,1981,Graduation,Married,54386.0,0,1,1
202,1960,Graduation,Married,67716.0,0,1,1
207,1952,PhD,Divorced,46610.0,0,2,1
221,1963,PhD,Divorced,48799.0,0,1,1
231,1958,Graduation,Married,65148.0,0,1,1
232,1955,Graduation,Divorced,49431.0,0,1,1
243,1952,Graduation,Married,62998.0,0,1,1
246,1948,PhD,Married,45579.0,0,1,1
248,1976,PhD,Divorced,70179.0,0,1,1
249,1976,PhD,Divorced,70179.0,0,1,1
272,1955,PhD,Married,59821.0,0,1,1
274,1967,PhD,Married,56320.0,0,1,1
285,1954,Graduation,Divorced,79865.0,0,1,1
290,1966,Graduation,Divorced,67272.0,0,1,1
296,1956,Graduation,Married,15759.0,0,0,1
299,1976,Graduation,Married,5305.0,0,1,1
309,1952,PhD,Married,50870.0,0,1,1
311,1957,Graduation,Married,23539.0,0,0,1
313,1970,2n Cycle,Married,62466.0,0,1,1
314,1970,2n Cycle,Married,62466.0,0,1,1
322,1968,2n Cycle,Married,48985.0,0,1,1
339,1965,Graduation,Single,69263.0,0,1,1
341,1966,PhD,Married,57705.0,0,1,1
345,1946,Graduation,Married,18100.0,0,0,1
346,1977,2n Cycle,Divorced,59601.0,0,1,1
356,1974,2n Cycle,Married,45894.0,0,2,1
